method,split,n,state_macro_f1,vrs,flip_accuracy,effective_switch_rate,unnecessary_switch_rate,appropriate_persistence,refutation_acceptance,underpower_handling,invalid_repair_rate,invalid_claim_rate,vnpr,replication_rate,fdr,fdr_n,cost,utility,vrs_n,flip_accuracy_n,effective_switch_rate_n,unnecessary_switch_rate_n,appropriate_persistence_n,refutation_acceptance_n,underpower_handling_n,invalid_repair_rate_n,invalid_claim_rate_n,vnpr_n,replication_rate_n,cost_n,utility_n
Base,all,32,0.1875,1.2902465234202107,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.15625,0.0,0.5,,0,1.0899999999999999,0.6977276732405119,32,32,32,32,32,32,32,32,32,8,32,32,32
GRPO-FourState,all,32,0.6238095238095238,1.770232201656805,0.0,0.0,0.0,0.25,0.0625,1.0,0.0,0.125,0.0,0.6875,,0,1.417,0.7443426767063522,32,32,32,32,32,32,32,32,32,8,32,32,32
PESCO-Full,all,32,0.9076388888888889,2.52056976641695,0.40625,0.21875,0.0,0.25,0.25,1.0,0.25,0.0,0.5,0.96875,0.0,2,2.071,0.7676697664169497,32,32,32,32,32,32,32,32,32,8,32,32,32
PESCO-Offline,all,32,0.9388888888888889,2.2836557177737946,0.0,0.125,0.0,0.25,0.21875,0.9375,0.1875,0.0,0.0,0.8125,,0,1.6894999999999998,0.7526057177737945,32,32,32,32,32,32,32,32,32,8,32,32,32
