method,split,n,state_macro_f1,vrs,flip_accuracy,effective_switch_rate,unnecessary_switch_rate,appropriate_persistence,refutation_acceptance,underpower_handling,invalid_repair_rate,invalid_claim_rate,vnpr,replication_rate,fdr,fdr_n,cost,utility,vrs_n,flip_accuracy_n,effective_switch_rate_n,unnecessary_switch_rate_n,appropriate_persistence_n,refutation_acceptance_n,underpower_handling_n,invalid_repair_rate_n,invalid_claim_rate_n,vnpr_n,replication_rate_n,cost_n,utility_n,vrs_ci_low,vrs_ci_high
Base,final_id,24,0.2037037037037037,1.3370585844692886,0.0,0.0,0.0,0.3333333333333333,0.0,0.8333333333333334,0.0,0.125,0.0,0.4583333333333333,,0,1.09,0.7002529136453332,24,24,24,24,24,24,24,24,24,8,24,24,24,0.8174718125389235,1.8328120630624565
Base,final_ood,8,0.07142857142857144,1.1498103402729773,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,,0.625,,0,1.09,0.6901519520260476,8,8,8,8,8,8,8,8,8,0,8,8,8,0.9089206329412394,1.3907000476047149
GRPO-FourState,final_id,24,0.5871794871794871,1.8110277025863437,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,1.0,0.0,0.08333333333333333,0.0,0.75,,0,1.417,0.7292450700956424,24,24,24,24,24,24,24,24,24,8,24,24,24,1.4346627449442606,2.174442279359035
GRPO-FourState,final_ood,8,0.41666666666666663,1.6478456988681889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,,0.5,,0,1.417,0.7896354965384815,8,8,8,8,8,8,8,8,8,0,8,8,8,1.2161197289903038,2.079571668746074
PESCO-Full,final_id,24,0.9061274509803922,2.560025503737547,0.5416666666666666,0.2916666666666667,0.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.0,0.5,0.9583333333333334,0.0,2,2.0709999999999997,0.768792170404213,24,24,24,24,24,24,24,24,24,8,24,24,24,2.2799996508601215,2.9080811071207493
PESCO-Full,final_ood,8,0.4642857142857143,2.4022025544551595,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,,1.0,,0,2.0709999999999997,0.7643025544551602,8,8,8,8,8,8,8,8,8,0,8,8,8,2.358055619289312,2.446349489621008
PESCO-Offline,final_id,24,0.9555555555555556,2.2495548220631423,0.0,0.16666666666666666,0.0,0.3333333333333333,0.2916666666666667,1.0,0.125,0.0,0.0,0.75,,0,1.6895,0.7668381553964759,24,24,24,24,24,24,24,24,24,8,24,24,24,1.9565499853356367,2.4801810575533723
PESCO-Offline,final_ood,8,0.4365079365079365,2.385958404905751,0.0,0.0,0.0,0.0,0.0,0.75,0.375,0.0,,1.0,,0,1.6895000000000002,0.7099084049057507,8,8,8,8,8,8,8,8,8,0,8,8,8,2.335187869246006,2.4367289405654953
