method,split,vrs_ci_low,vrs_ci_high
Base,final_id,0.8174718125389235,1.8328120630624565
Base,final_ood,0.9089206329412394,1.3907000476047149
GRPO-FourState,final_id,1.4346627449442606,2.174442279359035
GRPO-FourState,final_ood,1.2161197289903038,2.079571668746074
PESCO-Full,final_id,2.2799996508601215,2.9080811071207493
PESCO-Full,final_ood,2.358055619289312,2.446349489621008
PESCO-Offline,final_id,1.9565499853356367,2.4801810575533723
PESCO-Offline,final_ood,2.335187869246006,2.4367289405654953
